x, y, z, alpha, beta, gamma, zero
0.530005, -1.05485e-16, 0.609436, -4.74251e-17, 0.208294, 3.14159, 0
0.529932, -1.05482e-16, 0.609391, -4.75671e-17, 0.208918, 3.14159, 0
0.529859, -1.05487e-16, 0.609346, -4.77076e-17, 0.209536, 3.14159, 0
0.529787, -1.05485e-16, 0.609301, -4.78468e-17, 0.210147, 3.14159, 0
0.529716, -1.05492e-16, 0.609257, -4.79846e-17, 0.210753, 3.14159, 0
0.529646, -1.05487e-16, 0.609214, -4.8121e-17, 0.211352, 3.14159, 0
0.529576, -1.05495e-16, 0.609171, -4.8256e-17, 0.211946, 3.14159, 0
0.529507, -1.05487e-16, 0.609128, -4.83896e-17, 0.212533, 3.14159, 0
0.529439, -1.05488e-16, 0.609086, -4.8522e-17, 0.213115, 3.14159, 0
0.529371, -1.05489e-16, 0.609044, -4.8653e-17, 0.213691, 3.14159, 0
0.529304, -1.05489e-16, 0.609003, -4.87827e-17, 0.214261, 3.14159, 0
0.529238, -1.05489e-16, 0.608962, -4.89111e-17, 0.214825, 3.14159, 0
0.529172, -1.05486e-16, 0.608921, -4.90382e-17, 0.215384, 3.14159, 0
0.529107, -1.05481e-16, 0.608881, -4.91641e-17, 0.215937, 3.14159, 0
0.529043, -1.05478e-16, 0.608841, -4.92886e-17, 0.216485, 3.14159, 0
0.528979, -1.05467e-16, 0.608802, -4.9412e-17, 0.217027, 3.14159, 0
0.528916, -1.05466e-16, 0.608763, -4.95341e-17, 0.217564, 3.14159, 0
0.528854, -1.05467e-16, 0.608724, -4.9655e-17, 0.218095, 3.14159, 0
0.528792, -1.05464e-16, 0.608686, -4.97746e-17, 0.218621, 3.14159, 0
0.528731, -1.05468e-16, 0.608648, -4.98931e-17, 0.219142, 3.14159, 0
0.52867, -1.05465e-16, 0.608611, -5.00104e-17, 0.219658, 3.14159, 0
0.52861, -1.05459e-16, 0.608574, -5.01265e-17, 0.220168, 3.14159, 0
