x, y, z, alpha, beta, gamma, zero
0.110373, -0.0403421, 0.611997, -1.4811, 0.0255078, 2.61791, 0
0.10879, -0.0404882, 0.61196, -1.48638, 0.0256257, 2.61606, 0
0.107223, -0.0406329, 0.611924, -1.4916, 0.0257425, 2.61422, 0
0.105671, -0.0407762, 0.611887, -1.49677, 0.0258582, 2.6124, 0
0.104136, -0.0409182, 0.611852, -1.50188, 0.0259728, 2.6106, 0
0.102615, -0.0410588, 0.611816, -1.50695, 0.0260863, 2.60881, 0
0.10111, -0.0411981, 0.611781, -1.51197, 0.0261987, 2.60705, 0
0.0996196, -0.041336, 0.611746, -1.51693, 0.0263101, 2.6053, 0
0.0981443, -0.0414727, 0.611712, -1.52185, 0.0264203, 2.60357, 0
0.0966837, -0.041608, 0.611678, -1.52671, 0.0265295, 2.60186, 0
0.0952377, -0.0417421, 0.611644, -1.53153, 0.0266377, 2.60016, 0
0.0938061, -0.0418749, 0.611611, -1.5363, 0.0267448, 2.59848, 0
0.0923889, -0.0420064, 0.611578, -1.54102, 0.0268509, 2.59682, 0
0.0909858, -0.0421367, 0.611545, -1.5457, 0.026956, 2.59518, 0
0.0895968, -0.0422657, 0.611513, -1.55033, 0.02706, 2.59355, 0
0.0882216, -0.0423935, 0.611481, -1.55491, 0.027163, 2.59193, 0
0.0868602, -0.0425201, 0.61145, -1.55945, 0.027265, 2.59034, 0
0.0855124, -0.0426454, 0.611419, -1.56394, 0.0273661, 2.58876, 0
0.084178, -0.0427696, 0.611388, -1.56838, 0.0274661, 2.58719, 0
0.082857, -0.0428926, 0.611357, -1.57278, 0.0275652, 2.58564, 0
0.0815492, -0.0430144, 0.611327, -1.57714, 0.0276633, 2.58411, 0
0.0802545, -0.0431351, 0.611297, -1.58146, 0.0277604, 2.58259, 0
0.0789727, -0.0432546, 0.611268, -1.58573, 0.0278566, 2.58109, 0
0.0777038, -0.043373, 0.611238, -1.58995, 0.0279519, 2.5796, 0
0.0764475, -0.0434902, 0.611209, -1.59414, 0.0280462, 2.57813, 0
0.0752037, -0.0436063, 0.611181, -1.59828, 0.0281395, 2.57667, 0
0.0739725, -0.0437213, 0.611152, -1.60239, 0.028232, 2.57523, 0
0.0727535, -0.0438352, 0.611124, -1.60645, 0.0283236, 2.5738, 0
0.0715467, -0.043948, 0.611097, -1.61047, 0.0284142, 2.57238, 0
0.0703519, -0.0440598, 0.611069, -1.61445, 0.0285039, 2.57098, 0
0.0691691, -0.0441704, 0.611042, -1.61839, 0.0285928, 2.56959, 0
